MATERIAL_GRADE,MATERIAL_NAME,COATING_TYPE,DIMENSION,weight,material,article id,quantity
,,,,10540,S550 GD+ZM175 MAC 2 x 1070mm,2202/55501,1.0
,,,,22080,S235  ongeb/ ongeol traan  5 * 1500 ,2303/42482,1.0
,,,,2550,"DX51D+Z275 0,75 * 1250 ",2310/46181,1.0
,,,,1620,"DZ51D+Z275 1,25*1250 ",2305/18290,
,,,,1814,"DD11 geolied 2,00 x 1250,00 x 3500,00",2401/22326,25.0
,,,,2591,"DX51D +Z140 Ma-C 4,00 x 775,00 x 2850,00",2310/16948,37.0
,,,,2415,"DX51D +Z275 Ma-C 0,88 x 1500,00 x 3000,00",2310/12230,75.0
,,,,1022,"S280GD +Z275 Ma-C 1,50 x 1250,00 x 2115,00",2401/28601,32.0
,,,,2022,"S320GD +Z275 Ma-C 3,00 x 1250,00 x 2500,00",2310/39305,27.0
,,,,1008,"S320GD +Z275 Ma-C 3,00 x 1250,00 x 2500,00",2311/46386,13.0
,,,,2018,"S320GD +Z275 Ma-C 3,00 x 1250,00 x 2500,00",2312/15389,27.0
,,,,666,"S350GD +Z100 Ma-O 2,50 x 1170,00 x 3050,00",2311/34840,9.0
,,,,1118,"S350GD +Z275 Ma-C 3,00 x 1500,00 x 3000,00",2401/15304,10.0
,,,,260,"DC01 licht geolied 1,00 x 96,00 mm",2401/36811,1.0
,,,,525,"DD11 geolied 1,50 x 122,00 mm",2311/59379,1.0
,,,,248,"DD11 geolied 2,00 x 92,00 mm",2401/57274,1.0
,,,,450,"DD11 geolied 2,50 x 106,00 mm",2305/14209,1.0
,,,,640,"DX51D +Z140 Ma-C 0,60 x 120,00 mm",2312/1924,1.0
,,,,510,"DX51D +Z140 Ma-C 0,60 x 70,00 mm",2312/2013,1.0
,,,,320,"DX51D +Z275 Ma-C 3,00 x 80,00 mm",2311/14200,1.0
,,,,1635,"DX51D +Z275 Ma-C 4,00 x 114,00 mm",2401/39744,1.0
,,,,605,"DX51D +Z275 Ma-C 4,00 x 165,00 mm",2310/14357,1.0
,,,,770,"S250GD +Z275 Ma-C 0,40 x 137,00 mm",2310/51079,2.0
,,,,405,"S320GD +Z275 Ma-C 3,00 x 48,00 mm",2308/9008,6.0
,,,,410,"S320GD +Z275 Ma-C 3,00 x 48,00 mm",2308/9015,6.0
,,,,550,"S250GD +ZM310 Ma-C 1,00 x 182,20 mm",2306/52468,3.0
,,,,550,"S250GD +ZM310 Ma-C 1,00 x 182,20 mm",2306/52475,3.0
,,,,190,"S250GD +ZM310 Ma-C 1,00 x 182,20 mm",2306/52482,1.0
,,,,3375,"S350GD +ZM310 Ma-C 3,00 x 165,00 mm",2303/64064,2.0
,,,,3410,"S350GD +ZM310 Ma-C 3,00 x 165,00 mm",2303/64071,2.0
,,,,3390,"S350GD +ZM310 Ma-C 3,00 x 165,00 mm",2303/64088,2.0
,,,,4390,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2302/40764,1.0
,,,,4430,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2302/40849,1.0
,,,,4680,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2307/46143,1.0
,,,,1330,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2302/11771,1.0
,,,,980,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2303/29834,2.0
,,,,980,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2303/29858,2.0
,,,,500,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2303/29865,1.0
,,,,3560,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",2311/42746,1.0
,,,,12530,HDC 0.75x1270 GXE G6/6 MB O,11006841,2231027
,,,,12770,HDC 0.75x1270 GXE G6/6 MB O,11006841,2253917
,,,,18620,HDC 0.75x1010 GXES G10/10 MB O,11006843,2141400
,,,,18100,HDC 0.75x1010 GXES G10/10 MB O,11006843,2176549
,,,,11089,HDC 1x1000 HX300LAD+Z 140 MB O,11006915,2144362
,,,,11890,HRP 2.2x1200 HE360D O,11007024,2193183
,,,,18400,CR 1.47x1390 X-ES A O,11007031,2376477
,,,,11370,HDC 2x1295 D59V G7/7 MB O,11007136,2389800
,,,,13040,HDC 1x1432 HX380LAD+Z 140 MB O,11007240,2153593
,,,,11520,CR 1.5x1487 XE320D A O,11007347,2112436
,,,,11700,CR 1.5x1487 XE320D A O,11007347,2112439
,,,,11656,HDC 0.87x1445 26G G10/10 MB O,11007462,2165168
,,,,11280,CR 0.65x1437 X-ES A O,11007896,2121522
,,,,7012,HDC 0.65x1080 XCV G7/7 MB O,11007912,2165165
,,,,7012,HDC 0.65x1080 XCV G7/7 MB O,11007912,2165166
,,,,6792,HDC 0.65x1080 XCV G7/7 MB O,11007912,2165167
,,,,6812,HDC 0.65x1080 XCV G7/7 MB O,11007912,2306268
,,,,6780,HDC 0.65x1080 XCV G7/7 MB O,11007912,2328817
,,,,6792,HDC 0.65x1080 XCV G7/7 MB O,11007912,2330687
,,,,12300,CR 1.5x1410 XE360D A O,11010359,2197778
,,,,11780,CR 0.7x1355 CR3 A O,11011779,2160789
,,,,12402,HDC 1.5x1330 CR3-GI 60/60 MB O,11011808,2231858
