2024-08-20 09:54:16,688 - INFO - Created vocabulary
2024-08-20 09:54:16,688 - INFO - Finished initializing nlp object
2024-08-20 09:55:37,677 - INFO - Iteration 67, Losses: {'ner': 1.7131147400068052}
2024-08-20 09:55:39,242 - INFO - Iteration 68, Losses: {'ner': 2.746260634889248}
2024-08-20 09:55:41,039 - INFO - Iteration 69, Losses: {'ner': 1.9687716019172017}
2024-08-20 09:55:42,543 - INFO - Iteration 70, Losses: {'ner': 0.30819641996957226}
2024-08-20 09:55:43,942 - INFO - Iteration 71, Losses: {'ner': 0.6811723625990534}
2024-08-20 09:55:45,638 - INFO - Iteration 72, Losses: {'ner': 0.15192263483211693}
2024-08-20 09:55:47,726 - INFO - Iteration 73, Losses: {'ner': 5.6175299653586075}
2024-08-20 09:55:50,993 - INFO - Iteration 74, Losses: {'ner': 1.0820255790025065e-07}
2024-08-20 09:55:53,529 - INFO - Iteration 75, Losses: {'ner': 1.92044395762145}
2024-08-20 09:55:54,891 - INFO - Iteration 76, Losses: {'ner': 0.15665394491659115}
2024-08-20 09:55:56,411 - INFO - Iteration 77, Losses: {'ner': 1.2426968263878404}
2024-08-20 09:55:57,820 - INFO - Iteration 78, Losses: {'ner': 2.0244477420725997}
2024-08-20 09:55:59,196 - INFO - Iteration 79, Losses: {'ner': 9.468101012267995e-09}
2024-08-20 09:56:00,602 - INFO - Iteration 80, Losses: {'ner': 0.053948825712437316}
2024-08-20 09:56:02,040 - INFO - Iteration 81, Losses: {'ner': 0.01461611123933362}
2024-08-20 09:56:03,463 - INFO - Iteration 82, Losses: {'ner': 0.493004868503622}
2024-08-20 09:56:04,900 - INFO - Iteration 83, Losses: {'ner': 1.0605020892522562e-07}
2024-08-20 09:56:06,486 - INFO - Iteration 84, Losses: {'ner': 6.060495880684175e-05}
2024-08-20 09:56:07,809 - INFO - Iteration 85, Losses: {'ner': 0.6696726181655407}
2024-08-20 09:56:09,273 - INFO - Iteration 86, Losses: {'ner': 4.006465465410614}
2024-08-20 09:56:10,661 - INFO - Iteration 87, Losses: {'ner': 0.043326646443368325}
2024-08-20 09:56:11,976 - INFO - Iteration 88, Losses: {'ner': 0.15178736544602023}
2024-08-20 09:56:13,150 - INFO - Iteration 89, Losses: {'ner': 0.06546894299425611}
2024-08-20 09:56:14,432 - INFO - Iteration 90, Losses: {'ner': 2.140517416641918}
2024-08-20 09:56:15,588 - INFO - Iteration 91, Losses: {'ner': 3.4627168983757453}
2024-08-20 09:56:16,935 - INFO - Iteration 92, Losses: {'ner': 2.0351026458378563}
2024-08-20 09:56:18,313 - INFO - Iteration 93, Losses: {'ner': 7.176413252076803e-09}
2024-08-20 09:56:19,439 - INFO - Iteration 94, Losses: {'ner': 0.4197311274770694}
2024-08-20 09:56:20,641 - INFO - Iteration 95, Losses: {'ner': 0.005056814224499359}
2024-08-20 09:56:21,878 - INFO - Iteration 96, Losses: {'ner': 0.0522910319639156}
2024-08-20 09:56:23,209 - INFO - Iteration 97, Losses: {'ner': 0.026746802303786423}
2024-08-20 09:56:24,366 - INFO - Iteration 98, Losses: {'ner': 2.481639393547747e-05}
2024-08-20 09:56:25,554 - INFO - Iteration 99, Losses: {'ner': 1.1044747093624316}
2024-08-20 09:56:27,011 - INFO - Iteration 100, Losses: {'ner': 2.2160814523394317}
2024-08-20 09:56:29,039 - INFO - Entities extracted and saved to: C:\Users\Vishwas\Desktop\Interview docs\Vanilla Steel\supplier_data_standardization_for_metal_trading\data\final_combined_output_with_entities.csv
2024-08-20 09:56:29,039 - INFO - Entities extracted and saved to: C:\Users\Vishwas\Desktop\Interview docs\Vanilla Steel\supplier_data_standardization_for_metal_trading\data\final_combined_output_with_entities.csv
